type	keys	words	sets
1	a	工	0
1	b	了	0
1	c	以	0
1	d	在	0
1	e	有	0
1	f	地	0
1	g	一	0
1	h	上	0
1	i	不	0
1	j	是	0
1	k	中	0
1	l	国	0
1	m	同	0
1	n	民	0
1	o	为	0
1	p	这	0
1	q	我	0
1	r	的	0
1	s	要	0
1	t	和	0
1	u	产	0
1	v	发	0
1	w	人	0
1	x	经	0
1	y	主	0
1	aa	工	0
1	ab	节	0
1	ac	芭	0
1	ad	其	0
1	ae	功	0
1	ag	七	0
1	ah	牙	0
1	ai	东	0
1	aj	划	0
1	ak	或	0
1	al	苗	0
1	am	黄	0
1	an	世	0
1	ao	蔗	0
1	ap	劳	0
1	aq	获	0
1	ar	区	0
1	as	苛	0
1	at	攻	0
1	au	蒋	0
1	av	切	0
1	aw	共	0
1	ax	药	0
1	ay	芳	0
1	ba	陈	0
1	bb	子	0
1	bc	取	0
1	bd	随	0
1	be	阴	0
1	bf	际	0
1	bg	卫	0
1	bh	耻	0
1	bi	孙	0
1	bj	阳	0
1	bk	职	0
1	bl	阵	0
1	bm	出	0
1	bn	也	0
1	bo	耿	0
1	bp	院	0
1	bq	隐	0
1	br	孤	0
1	bs	阿	0
1	bt	降	0
1	bu	联	0
1	bv	限	0
1	bw	队	0
1	bx	陛	0
1	by	及	0
1	ca	戏	0
1	cb	邓	0
1	cc	又	0
1	cd	参	0
1	ce	能	0
1	cf	对	0
1	cg	马	0
1	ck	台	0
1	cm	观	0
1	cn	巴	0
1	cq	允	0
1	ct	矣	0
1	cv	艰	0
1	cw	难	0
1	cy	叉	0
1	da	左	0
1	db	顾	0
1	dc	友	0
1	dd	大	0
1	de	胡	0
1	df	夺	0
1	dh	还	0
1	di	耗	0
1	dj	百	0
1	dk	右	0
1	dl	奋	0
1	dm	面	0
1	dn	成	0
1	do	矿	0
1	dp	达	0
1	dq	克	0
1	dr	原	0
1	ds	厅	0
1	dt	故	0
1	du	磁	0
1	dv	碌	0
1	dw	春	0
1	dx	龙	0
1	dy	太	0
1	ea	毁	0
1	eb	服	0
1	ec	肥	0
1	ed	须	0
1	ee	月	0
1	ef	脚	0
1	eg	且	0
1	eh	用	0
1	ei	膛	0
1	ej	胆	0
1	ek	加	0
1	el	舅	0
1	em	觅	0
1	en	力	0
1	eo	脏	0
1	ep	边	0
1	eq	胸	0
1	er	貌	0
1	es	采	0
1	et	胜	0
1	eu	脱	0
1	ev	妥	0
1	ew	办	0
1	ex	脂	0
1	ey	脑	0
1	fa	域	0
1	fb	地	0
1	fc	去	0
1	fd	城	0
1	fe	协	0
1	ff	土	0
1	fg	二	0
1	fh	起	0
1	fi	示	0
1	fj	进	0
1	fk	喜	0
1	fl	载	0
1	fm	南	0
1	fn	志	0
1	fo	赤	0
1	fp	过	0
1	fq	无	0
1	fr	垢	0
1	fs	霜	0
1	ft	才	0
1	fu	增	0
1	fv	雪	0
1	fw	夫	0
1	fx	盏	0
1	fy	裁	0
1	ga	开	0
1	gb	击	0
1	gc	到	0
1	gd	天	0
1	ge	表	0
1	gf	于	0
1	gg	五	0
1	gh	下	0
1	gi	求	0
1	gj	理	0
1	gk	事	0
1	gl	画	0
1	gm	现	0
1	gn	与	0
1	go	来	0
1	gq	万	0
1	gr	珠	0
1	gs	末	0
1	gt	麦	0
1	gu	平	0
1	gv	妻	0
1	gw	珍	0
1	gx	互	0
1	gy	玉	0
1	ha	虑	0
1	hc	皮	0
1	hd	非	0
1	he	肯	0
1	hg	上	0
1	hh	止	0
1	hj	旧	0
1	hk	占	0
1	hl	卤	0
1	hm	贞	0
1	hn	卢	0
1	ho	眯	0
1	hp	瞎	0
1	hq	餐	0
1	hs	盯	0
1	ht	睡	0
1	hu	瞳	0
1	hv	眼	0
1	hw	具	0
1	hx	此	0
1	hy	眩	0
1	ia	江	0
1	ib	池	0
1	ic	汉	0
1	id	尖	0
1	ie	肖	0
1	if	法	0
1	ig	光	0
1	ih	小	0
1	ii	水	0
1	ij	温	0
1	ik	溃	0
1	il	渐	0
1	im	油	0
1	in	泥	0
1	io	淡	0
1	ip	学	0
1	iq	沟	0
1	ir	派	0
1	is	河	0
1	it	少	0
1	iu	洋	0
1	iv	当	0
1	iw	没	0
1	ix	涨	0
1	iy	流	0
1	ja	暴	0
1	jb	最	0
1	jc	紧	0
1	jd	晨	0
1	je	明	0
1	jf	时	0
1	jg	量	0
1	jh	申	0
1	ji	晃	0
1	jj	日	0
1	jk	蝇	0
1	jl	曙	0
1	jm	遇	0
1	jn	电	0
1	jo	显	0
1	jp	晕	0
